player,team,opponent,salary,value,stat,player_avg,projected_value,adjusted_avg,extra_fp,edge_pct,recommendation,book_line,book_over,book_under,vs_book_edge,archetype,dva_edge,dvp_edge,blend,hit_rate,cv,last5_avg,hit_rate_unweighted,cv_unweighted,last5_avg_unweighted,playoff_n,playoff_weight_applied,confidence,confidence_reasons,gate_fail_count,composite_score,pace_factor,total_factor,physical_edge,usage_boost,opportunity_index,cascade_tier,opportunity_spike,out_player_details,total_vacated_usage,total_vacated_minutes,projected_min,implied_team_total,blowout_cap,projection_factors,opening_line,current_line,line_drift,line_drift_pct,line_snapshots,last_hour_drift,last_hour_from,last_hour_minutes,move_pattern,largest_swing,largest_swing_share
Anthony Edwards,MIN,SA,7700,4.63,AST,3.7,2.6,2.7,-1.5,-18.9,UNDER,3.5,144.0,-186.0,-25.7,Playmaker,-1.45,-0.03,29/70 DVP/DVA,51.5,0.46,3.0,51.5,0.46,3.0,0,False,LOW,Hit rate 51.5% < 58%; High variance (CV 0.46 > 0.30),2,48.3,1.0,0.998,,,,,,,0.0,0.0,32.2,103.5,,DVA -1.5,2.5,3.5,1.0,40.0,6.0,0.0,3.5,89.9,sudden_swing,1.0,1.0
Andre Drummond,PHI,NY,3600,10.33,REB,8.4,5.6,7.3,-1.3,-7.3,UNDER,7.5,108.0,-144.0,-25.3,Traditional Big,-1.06,-1.05,29/70 DVP/DVA,48.6,0.6,3.0,48.6,0.6,3.0,0,False,LOW,Hit rate 48.6% < 58%; High variance (CV 0.6 > 0.30),2,47.5,1.0,1.002,0.54,,,,,,0.0,0.0,30.9,105.0,,ROLE CHANGE ↓ (20→8 min); RES 1.00; Recent ↓4.3; Size ws+3; BoxOuts 3.6/48; DVA -1.1; Min cap 24/31; Share 17.0%; GameReb 87,7.5,7.5,0.0,0.0,,0.0,,0.0,flat,0.0,0.0
Devin Vassell,SA,MIN,5800,4.84,PTS,13.9,15.5,13.6,-0.3,-1.2,OVER,12.5,-125.0,-102.0,24.0,Shooting Wing,-0.06,-0.77,29/70 DVP/DVA,56.9,0.44,12.4,56.9,0.44,12.4,0,False,LOW,"Hit rate 56.9% < 58%; High variance (CV 0.44 > 0.30); Last-5 avg 12.4 below line 12.5 for OVER; Weak matchup: DVA -0.1, DVP -0.8 — need ≥0.5 directional support for OVER",4,46.8,1.0,0.998,,1.9,1.16,1.0,,"[{'name': 'Carter Bryant', 'usg': 16.3, 'mpg': 11.5, 'rpg': 2.5, 'apg': 0.7, 'archetype': 'Unknown', 'creation_idx': 0.0, 'playmaking_idx': 0.0, 'perimeter_idx': 0.0, 'interior_idx': 0.0}]",16.3,11.5,33.9,114.0,0.997,Recent trend ↓0.7; DVP -0.8; Opp Ratio ×1.16 (+2.1) T1; Blowout cap 1.00; H2H +1.0,12.5,12.5,0.0,0.0,6.0,0.0,12.5,89.9,flat,0.0,0.0
VJ Edgecombe,PHI,NY,6400,4.28,AST,4.2,2.5,2.9,-2.0,-24.0,UNDER,3.5,104.0,-138.0,-28.6,Playmaker,-1.63,-0.53,29/70 DVP/DVA,45.2,0.58,2.6,45.2,0.58,2.6,0,False,LOW,Hit rate 45.2% < 58%; High variance (CV 0.58 > 0.30),2,46.7,1.0,1.002,,,,,,,0.0,0.0,33.0,105.0,,Recent ↓0.4; DVA -1.6,2.5,3.5,1.0,40.0,6.0,0.0,3.5,89.9,sudden_swing,1.0,1.0
Devin Vassell,SA,MIN,5800,4.84,REB,4.0,4.6,3.8,-0.2,-2.7,OVER,3.5,-154.0,120.0,31.4,Shooting Wing,-0.13,-0.29,29/70 DVP/DVA,54.2,0.52,6.2,54.2,0.52,6.2,0,False,LOW,"Hit rate 54.2% < 58%; High variance (CV 0.52 > 0.30); Weak matchup: DVA -0.1, DVP -0.3 — need ≥0.5 directional support for OVER",3,46.6,1.0,0.998,,1.9,1.16,1.0,,"[{'name': 'Carter Bryant', 'usg': 16.3, 'mpg': 11.5, 'rpg': 2.5, 'apg': 0.7, 'archetype': 'Unknown', 'creation_idx': 0.0, 'playmaking_idx': 0.0, 'perimeter_idx': 0.0, 'interior_idx': 0.0}]",16.3,11.5,33.9,114.0,0.997,RES 0.98; Recent ↑0.8; RebFit -6%; Blowout cap 1.00; Share 7.9%; GameReb 86,3.5,3.5,0.0,0.0,6.0,0.0,3.5,89.9,reversal,1.0,0.5
Adem Bona,PHI,NY,3500,4.56,REB,4.3,2.4,3.5,-1.0,-5.5,UNDER,3.5,-144.0,108.0,-31.4,Traditional Big,-0.68,-1.05,29/70 DVP/DVA,44.3,0.62,1.2,44.3,0.62,1.2,0,False,LOW,Hit rate 44.3% < 58%; High variance (CV 0.62 > 0.30),2,46.0,1.0,1.002,-0.09,,,,,,0.0,0.0,19.8,105.0,,ROLE CHANGE ↓ (17→11 min); RES 1.00; Recent ↓2.5; BoxOuts 2.5/48; DVA -0.7; Share 8.7%; GameReb 87,3.5,3.5,0.0,0.0,2.0,0.0,3.5,89.9,flat,0.0,0.0
Rudy Gobert,MIN,SA,6300,4.86,REB,11.5,11.6,11.7,0.3,1.5,OVER,10.5,-132.0,104.0,10.5,Traditional Big,0.37,-0.15,29/70 DVP/DVA,60.2,0.31,11.4,60.2,0.31,11.4,0,False,LOW,"High variance (CV 0.31 > 0.30); Weak matchup: DVA +0.4, DVP -0.2 — need ≥0.5 directional support for OVER",2,43.1,1.0,0.998,0.65,,,,,,0.0,0.0,28.5,103.5,,RES 0.96; Size +2in ws+4; BoxOuts 3.9/48; DVA +0.4; Share 23.4%; GameReb 84,10.5,10.5,0.0,0.0,6.0,0.0,10.5,89.9,flat,0.0,0.0
Tyrese Maxey,PHI,NY,9500,4.48,AST,6.6,5.2,5.8,-1.1,-9.0,UNDER,6.5,118.0,-158.0,-20.0,Combo Guard,-1.1,0.06,29/70 DVP/DVA,49.4,0.42,5.0,49.4,0.42,5.0,0,False,LOW,Hit rate 49.4% < 58%; High variance (CV 0.42 > 0.30),2,42.9,1.0,1.002,,,,,,,0.0,0.0,35.5,105.0,,Recent ↓0.7; DVA -1.1,5.5,6.5,1.0,18.18,6.0,0.0,6.5,89.9,sudden_swing,1.0,1.0
Anthony Edwards,MIN,SA,7700,4.63,PTS,28.8,22.1,27.6,-1.2,-5.2,OVER,20.5,-113.0,-113.0,7.8,Playmaker,-1.18,-1.27,29/70 DVP/DVA,75.8,0.37,18.4,75.8,0.37,18.4,0,False,LOW,High variance (CV 0.37 > 0.30); Trending down (last 5: 18.4 vs avg 28.0); Last-5 avg 18.4 below line 20.5 for OVER; DVA (-1.2) and DVP (-1.3) both oppose OVER; Low implied team total (103.5) suppresses OVER,5,40.5,1.0,0.998,,,,,,,0.0,0.0,32.2,103.5,,Recent trend ↓5.3; DVA -1.2; DVP -1.3; H2H -0.6,20.5,20.5,0.0,0.0,6.0,0.0,20.5,89.9,flat,0.0,0.0
Mikal Bridges,NY,PHI,5100,5.59,PTS,14.4,12.6,14.8,0.4,1.9,UNDER,14.5,-102.0,-130.0,-13.1,3-and-D Wing,0.53,0.22,29/70 DVP/DVA,54.5,0.43,11.2,54.5,0.43,11.2,0,False,LOW,"Hit rate 54.5% < 58%; High variance (CV 0.43 > 0.30); Weak matchup: DVA +0.5, DVP +0.2 — need ≥0.5 directional support for UNDER",3,37.7,1.0,1.002,,1.6,,,,,0.0,0.0,29.4,113.5,,Recent trend ↓1.7; DVA +0.5; Min proj 29,11.5,14.5,3.0,26.09,6.0,3.0,11.5,89.9,sudden_swing,3.0,1.0
Julius Randle,MIN,SA,7600,4.22,PTS,21.1,19.6,20.2,-0.9,-4.1,OVER,18.5,100.0,-128.0,5.9,Versatile Big,-1.02,-0.72,29/70 DVP/DVA,61.6,0.34,19.2,61.6,0.34,19.2,0,False,LOW,High variance (CV 0.34 > 0.30); DVA (-1.0) and DVP (-0.7) both oppose OVER; Low implied team total (103.5) suppresses OVER,3,34.3,1.0,0.998,,,,,,,0.0,0.0,31.0,103.5,,Recent trend ↓0.5; DVA -1.0; DVP -0.7,17.5,18.5,1.0,5.71,6.0,0.0,18.5,89.9,sudden_swing,1.0,1.0
Rudy Gobert,MIN,SA,6300,4.86,BLK,1.6,1.6,1.6,-0.1,-1.1,OVER,1.5,138.0,-186.0,6.7,Traditional Big,-0.03,-0.01,29/70 DVP/DVA,45.8,0.87,1.6,45.8,0.87,1.6,0,False,LOW,"Hit rate 45.8% < 58%; High variance (CV 0.87 > 0.30); Weak matchup: DVA -0.0, DVP -0.0 — need ≥0.5 directional support for OVER",3,23.2,1.0,0.998,0.65,,,,,,0.0,0.0,28.5,103.5,,Size advantage; Contested 2pt 622; Interior idx 4.8; Inflation cap 4.3→1.6,1.5,1.5,0.0,0.0,6.0,0.0,1.5,89.9,flat,0.0,0.0
VJ Edgecombe,PHI,NY,6400,4.28,REB,5.6,5.3,4.7,-1.1,-13.6,UNDER,5.5,-114.0,-114.0,-3.6,Playmaker,-1.0,-0.69,29/70 DVP/DVA,44.0,0.44,5.2,44.0,0.44,5.2,0,False,LOW,Hit rate 44.0% < 58%; High variance (CV 0.44 > 0.30),2,22.0,1.0,1.002,-0.38,,,,,,0.0,0.0,33.0,105.0,,RES 1.00; Recent ↑0.7; SAS -0.33; DVA -1.0; Share 8.5%; GameReb 87,4.5,5.5,1.0,22.22,6.0,0.0,5.5,89.9,sudden_swing,1.0,1.0
VJ Edgecombe,PHI,NY,6400,4.28,PTS,16.0,15.0,16.0,-0.0,-0.2,OVER,14.5,-130.0,-102.0,3.4,Playmaker,-0.03,-0.07,29/70 DVP/DVA,48.8,0.45,13.0,48.8,0.45,13.0,0,False,LOW,"Hit rate 48.8% < 58%; High variance (CV 0.45 > 0.30); Last-5 avg 13.0 below line 14.5 for OVER; Weak matchup: DVA -0.0, DVP -0.1 — need ≥0.5 directional support for OVER",4,17.5,1.0,1.002,,,,,,,0.0,0.0,33.0,105.0,,Recent trend ↓0.8; H2H -0.3,12.5,14.5,2.0,16.0,6.0,-1.0,15.5,89.9,sudden_swing,3.0,0.75
