player_name,fd_position,true_position,projected_min,salary,team,opponent,location,implied_total,fp_pg,fp_per_min,usg_pct,usg_boost,fppm_adj,ref_weight,dvp_weight,line_weight,games_pct,gp_weight,low_gp_flag,min_sd,omega,omega_weight,proj_fp,fp_sd,ceiling,floor,fp_range,upside_ratio,hist_max_fp,hist_min_fp,team_days_rest,team_is_b2b,team_is_3in4,load_mgmt_risk,opp_days_rest,opp_is_b2b,rest_advantage_days,tier,raw_fp_sd,tier_cv,tier_expected_sd,value_ratio,value_vs_tier,archetype
Deandre Ayton,C,C,24.26,5100,LAL,HOU,home,106.0,26.9,0.989,16.7,1.4751236476043277,1.0501513833075733,1.0013448117769443,0.949551227618856,0.9187703763530883,150.0,1.0,False,6.09,0.9,1.04,23.14648666340424,11.281527500000001,40.1,11.9,28.200000000000003,0.732,59.1,2.4,3,False,False,False,3,False,0,mid,11.746500000000001,0.454,9.39,5.07,0.039,Traditional Big
Moe Wagner,C/PF,C,20.68,3500,ORL,DET,away,111.0,12.94,1.0874,24.3,1.8638935756002595,1.14578512394549,0.9890594394307187,0.9589558424761664,1.0088522870978687,75.0,1.0,False,,0.589,1.0089,22.87443734691068,15.5919901,46.3,7.3,39.0,1.024,,,2,False,False,False,2,False,0,punt,15.0,0.639,18.88,7.14,1.975,Traditional Big
Jabari Smith,PF/C,PF,25.3,6400,HOU,LAL,away,102.5,30.33,0.8641,18.2,1.0332821229050282,0.8984407339385474,1.0076429727476555,1.0264020505417029,0.9069671283853628,160.4,1.0,False,,0.9,1.04,22.17476535221782,11.022179999999999,38.7,11.2,27.500000000000004,0.745,,,3,False,False,False,3,False,0,mid,14.325,0.492,8.02,3.45,-0.293,3-and-D Wing
Jamal Cain,SF,SF,27.22,3600,ORL,DET,away,111.0,9.55,0.7828,16.6,1.2732770927968853,0.8248304166125893,0.9890594394307187,0.9267866649420156,1.0088522870978687,83.3,1.0,False,7.85,0.57,1.007,20.90797684618767,9.446832800000001,35.1,11.5,23.6,0.679,36.6,-4.8,2,False,False,False,2,False,0,punt,8.78,0.454,16.87,6.2,1.583,3-and-D Wing
Paul Reed,C,C,11.31,3500,DET,ORL,home,115.5,19.5,1.4029,20.6,1.6265576208178443,1.4804402126394054,0.9923570272523445,1.044973480353554,1.0269012650865201,135.4,1.0,False,8.28,0.8,1.03,18.36507093104134,12.157905000000001,36.6,6.2,30.400000000000002,0.993,63.6,0.0,2,False,False,False,2,False,0,punt,11.941600000000001,0.76,11.88,4.49,0.871,Traditional Big
Daniss Jenkins,PG/SG,PG,16.98,3600,DET,ORL,home,115.5,19.61,0.9708,21.5,1.697620817843866,1.0244574513011153,0.9923570272523445,1.0045867216924627,1.0269012650865201,150.0,1.0,False,10.52,0.75,1.025,18.253222542054807,11.52,35.5,6.7,28.8,0.945,48.1,-1.0,2,False,False,False,2,False,0,punt,11.5192,0.722,12.07,4.43,0.846,Playmaker
Luke Kennard,SG/PG,SG,23.03,5000,LAL,HOU,home,106.0,16.06,0.7435,13.5,1.1924652241112832,0.7894717426584235,1.0013448117769443,1.041073862982756,0.9187703763530883,162.5,1.0,False,7.13,0.9,1.04,18.11073377200427,7.477074,29.3,10.6,18.700000000000003,0.618,50.7,1.2,3,False,False,False,3,False,0,mid,9.15845,0.492,5.35,2.95,-0.395,Shooting Wing
Anthony Black,PG/SG,PG,16.98,4500,ORL,DET,away,111.0,29.31,0.9836,22.2,1.7028163530175209,1.0364118520441272,0.9890594394307187,0.9879238085172977,1.0088522870978687,133.3,1.0,False,7.35,0.856,1.0356,17.96534349810152,8.341788000000001,30.5,9.6,20.9,0.698,59.9,4.0,2,False,False,False,2,False,0,value,11.84,0.466,7.88,4.01,-0.262,Scoring Wing
Craig Porter,PG,PG,16.44,3500,CLE,TOR,home,130.5,16.98,0.9486,12.3,0.0,0.9486,0.9868632842358697,0.983659194116985,1.1236743215031315,133.3,1.0,False,,0.881,1.0381,17.659004941406867,14.133124,38.9,3.5,35.4,1.203,,,3,False,False,False,3,False,0,punt,14.325,0.762,14.21,5.37,1.238,Playmaker
Tyrese Proctor,PG,PG,12.77,3500,CLE,TOR,home,130.5,9.91,0.9092,22.0,0.0,0.9092,0.9868632842358697,0.983659194116985,1.1236743215031315,104.2,1.0,False,7.13,0.726,1.0226,12.95084829820028,8.389075,25.5,4.6,20.9,0.969,43.2,0.0,3,False,False,False,3,False,0,punt,8.4995,0.616,10.43,3.94,0.642,Playmaker
